Comment,Designator,Footprint,LCSC,Quantity
100k,R7,R0603,C2933198,1
100k,"R11,R20,R8",R0402,C844504,3
100n,"C1,C10,C12,C13,C14,C15,C16,C25,C26,C6,C9",C0603,C1591,11
100u,C34,C1210,C162511,1
10k,"R12,R13,R14,R15,R16,R17,R22,R3,R6",R0603,C2933198,9
10u,C20,C0603,C1591,1
13.7k,R10,R0603,C2933198,1
1u,"C17,C18,C19,C29,C30,C31,C32,C33,C8",C0603,C1591,9
2.2u,"C11,C2,C5",C0603,C1591,3
20p,"C23,C24",C0603,C1591,2
22.1k,R9,R0402,C844504,1
22u,"C28,C3,C35,C7",C0805,C602037,4
3.6k,"R4,R5",R0603,C2933198,2
330,"R19,R21",R0603,C2933198,2
4.7u,C27,C0603,C1591,1
5.1k,"R1,R18,R2",R0603,C2933198,3
5.6u,L1,IND-SMD_L7.0-W6.6_APH0630,C5349708,1
6.8p,"C21,C22",C0603,C1591,2
6.8u,L2,IND-SMD_L7.1-W6.6,C5349706,1
BSMD2920L-1000-16V,F1,F2920,C46597958,1
CAMERA,FPC1,FPC-SMD_0510-GX-24PWB-GF-RB,C52722656,1
DMG3415U,"Q1,Q2",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR-1,C7202986,2
FCM1608KF-601T03,L3,L0603,C141723,1
ICM-45686,U2,LGA-14_L3.0-W2.5-P0.50-TL,C22459454,1
LED,"D3,D5",LED0603-FD,C19171390,2
LMR51430XDDCR,"U6,U7",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C5185863,2
Q13FC1350000400,X2,FC-135R_L3.2-W1.5,C32346,1
RB088LAM-40TR,"D1,D2",SOD-128_L3.7-W2.5-LS4.7-RD,C3758383,2
SDCard-TF-01A,Card1,TF-SMD_TF-01A,C91145,1
SMAJ18A_C148219,D4,SMA_L4.4-W2.6-LS5.0-RD,C148219,1
TS-1088-AR02016,"SW1,SW2,SW3",SW-SMD_L3.9-W3.0-P4.45,C720477,3
USB TYPE-C 16PIN 2MD,USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,C2765186,1
X322525MOB4SI,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C9006,1
XC6206-1.2V_C49446790,U10,SOT-23-3_L3.0-W1.6-P1.90-LS2.8-BR,C49446790,1
XC6206-2.8V,U8,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C2892669,1
XC6206P332MR,U9,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,C5446,1
RC,J7,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
MIC_2,J3,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,1
MIC_1,J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,1
MAX98357A,U11,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,,1
FC-ESC,J1,JST_XH_B8B-XH-AM_1x08_P2.50mm_Vertical,,1
ESP32-S3-WROOM-1,U4,ESP32-S3-WROOM-1,,1
VL53L1CXV0FY1,U5,ST_VL53L1x,,1
STM32F722RETx,U1,LQFP-64_10x10mm_P0.5mm,,1
SCREEN,J4,JST_XH_B14B-XH-A_1x14_P2.50mm_Vertical,,1
SERVO,J5,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,1
SPEAKER,J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,1
